Time,X,Rho,P,U,W
0.000223,30.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,30.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,30.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,30.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,30.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,30.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,30.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,30.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,30.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,30.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,31.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,31.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,31.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,31.350000,81.841333,75817888.407935,-51.410149,0.000000
0.000223,31.436373,36.980072,27805334.020785,51.410161,0.000000
