Time,X,Rho,P,U,W
0.000222,22.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,22.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,22.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,22.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,22.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,22.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,22.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,22.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,23.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,23.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,23.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,23.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,23.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,23.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,23.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,23.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,23.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,23.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,24.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,24.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,24.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,24.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,24.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,24.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,24.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,24.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,24.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,24.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,25.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,25.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,25.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,25.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,25.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,25.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,25.652021,42.290229,33418191.267316,-0.000000,0.000000
